Key,polish
ulmMeleeClubRollingPin,"Rolling Pin"
ulmMeleeClubRollingPinDesc,"Classical wooden Rolling Pin, a very useful tool in the kitchen in order to flatten out dough. Could be used as a weapon in a pinch."
ulmMeleeSledgeScrapIron,"Scrap Sledge"
ulmMeleeSledgeScrapIronDesc,"Random metal junk assembled together to form a heavy metal head with a long handle."
ulmMeleeSledgeTitanium,"Titanium Sledge"
ulmMeleeSledgeTitaniumDesc,"Prepare for war with the Undead!"
ulmMeleeSledgeBrinxsFury,"Brinx's Fury"
ulmMeleeSledgeBrinxsFuryDesc,"Legends say this weapon was the conduit of Brinx The Fearless while unleashing his fury upon hordes of darkness while he was fearlessly charging in the front lines and fighting for his community survival in the wasteland."
ulmMeleeSpearTitanium,"Titanium Spear"
ulmMeleeSpearTitaniumDesc,"Has a good balance between durability, reliability and sharpness."
ulmMeleeSpearWood,"Wooden Spear"
ulmMeleeSpearWoodDesc,"The most basic spears of all, just a sharpened long stick."
ulmMeleeTwoHandedPipe,"Long Pipe"
ulmMeleeTwoHandedPipeDesc,"A long pipe with an L piece screwed on top of it, simple, yet decently effective makeshift weapon."
ulmModArmorBackpackBasic,"Backpack"
ulmModArmorBackpackBasicDesc,"[decea3]Chest Armor Mod[-]\nExpands inventory capacity when installed in chest armor or vehicle."
ulmModArmorBackpackBasicBlueprint,"Backpack"
ulmModArmorEllianniaLocket,"Elliannia's Locket"
ulmModArmorEllianniaLocketDesc,"[decea3]Chest Armor Mod[-]\nA Silver Locket inscribed with 'Jillian, Forever My Daughter'."
ulmModOffhandFlashlight,"Offhand Flashlight Mod"
ulmModOffhandFlashlightDesc,"Equips this in your left hand. Supported Weapons: [decea3]All Pistols[-]"
ulmModVehicleCargoBag,"Vehicle Cargo Extension"
ulmModVehicleCargoBagDesc,"[decea3]Vehicle Mod[-]\nExpands inventory capacity when installed in chest armor or vehicle."
ulmModVehicleCargoBagBlueprint,"Vehicle Cargo Extension"
ulmQuestRewardBicyclePartsBundle,"Bicycle Parts Bundle"
ulmQuestRewardTruckPartsBundle,"Truck Parts Bundle"
ulmQuestTreasureElliannia,"Elliannia's Map"
ulmQuestTreasureEllianniaDesc,"An old key with a small map wrapped around it, that has a spot vaguely marked with a red X mark. Backside of the map says: Elliannia's Stash."
ulmResource9mmBulletHP,"Pistol Bullet, Hollow-point"
ulmResource9mmBulletHPDesc,"9x20mm hollow point bullet for pistols. Also known as the projectile of the round, casted from molten lead."
ulmResource10mmBullet,"SMG Bullet"
ulmResource10mmBulletDesc,"10x25mm bullet for submachine guns. Also known as the projectile of the round, casted from molten lead."
ulmResource10mmBulletHP,"SMG Bullet, Hollow-point"
ulmResource10mmBulletHPDesc,"10x25mm hollow point bullet for submachine guns. Also known as the projectile of the round, casted from molten lead."
ulmResource10mmCasing,"SMG Casing, Brass"
ulmResource10mmCasingDesc,"10x25mm brass casing for submachine guns. Holds all parts of the ammunition round together."
ulmResource10mmCasingSteel,"SMG Casing, Steel"
ulmResource10mmCasingSteelDesc,"10x25mm steel casing for submachine guns. Holds all parts of the ammunition round together."
ulmResource44MagnumBullet,"HY Pistol Bullet"
ulmResource44MagnumBulletDesc,"11x30mm bullet for revolvers. Also known as the projectile of the round, casted from molten lead."
ulmResource44MagnumBulletHP,"HY Pistol Bullet, Hollow-point"
ulmResource44MagnumBulletHPDesc,"11x30mm hollow point bullet for revolvers. Also known as the projectile of the round, casted from molten lead."
ulmResource44MagnumBulletINC,"HY Pistol Bullet, Incendiary"
ulmResource44MagnumBulletINCDesc,"11x30mm incendiary bullet for revolvers. Also known as the projectile of the round, casted from molten lead and infused with incendiary substance."
ulmResource44MagnumCasing,"HY Pistol Casing, Brass"
ulmResource44MagnumCasingDesc,"11x30mm brass casing for revolvers. Holds all parts of the ammunition round together."
ulmResource44MagnumCasingSteel,"HY Pistol Casing, Steel"
ulmResource44MagnumCasingSteelDesc,"11x30mm steel casing for revolvers. Holds all parts of the ammunition round together."
ulmResource762mmBullet,"Rifle Bullet"
ulmResource762mmBulletDesc,"8x50mm bullet for rifles. Also known as the projectile of the round, casted from molten lead."
ulmResource762mmBulletHP,"Rifle Bullet, Hollow-point"
ulmResource762mmBulletHPDesc,"8x50mm hollow point bullet for rifles. Also known as the projectile of the round, casted from molten lead."
ulmResource762mmBulletINC,"Rifle Bullet, Incendiary"
ulmResource762mmBulletINCDesc,"8x50mm incendiary bullet for revolvers. Also known as the projectile of the round, casted from molten lead and infused with incendiary substance."
ulmResource762mmCasing,"Rifle Casing, Brass"
ulmResource762mmCasingDesc,"8x50mm brass casing for rifles. Holds all parts of the ammunition round together."
ulmResource762mmCasingSteel,"Rifle Casing, Steel"
ulmResource762mmCasingSteelDesc,"8x50mm steel casing for rifles. Holds all parts of the ammunition round together."
ulmResourceAdhesive,"Adhesive"
ulmResourceAdhesiveDesc,"Rubber based Adhesive with exceptional binding properties."
ulmResourceAdvancedRepairKit,"Adv. Repair Kit"
ulmResourceAdvancedRepairKitDesc,"[decea3]Advanced Repair Kits[-] are used to repair the most advanced held and worn items, vehicles, and more."
ulmResourceAdvancedRepairKitBlueprint,"Adv. Repair Kit"
ulmResourceAdvancedRepairKitBlueprintDesc,"Instructions on how to make an [decea3]Adv. Repair Kit[-]."
ulmResourceBallBearings,"Ball Bearings"
ulmResourceBallBearingsDesc,"Standard ball bearings. Useful if you want to make two objects rotate between each other with minimum friction."
ulmResourceBark,"Bark"
ulmResourceBarkDesc,"Outer layer of stems and roots of woody plants."
ulmResourceBeltBuckle,"Brass Belt Buckle"
ulmResourceBeltBuckleDesc,"Used for fastening together two ends of straps or a belt."
ulmResourceBenchVice,"Bench Vice"
ulmResourceBenchViceDesc,"Required in making a workbench."
ulmResourceBobbyPin,"Bobby Pin"
ulmResourceBobbyPinDesc,"A hairpin usually made out some kind of metal. Helps hold hair in place or can be used as an improvised lockpick."
ulmResourceBobbyPinBlueprint,"Bobby Pin"
ulmResourceBonePowder,"Bone Powder"
ulmResourceBonePowderDesc,"Bone Powder is a primary ingredient for making glue."
ulmResourceBook,"Old Book"
ulmResourceBookDesc,"An old book will get you paper and burns well."
ulmResourceBottleEmpty,"Empty Beer Bottle"
ulmResourceBottleEmptyDesc,"An empty beer bottle. Ideal for making Molotov Cocktails or for brewing your own beer."
ulmResourceBowl,"Bowl"
ulmResourceBowlDesc,"If you want to make soups/stews, then you are going to need somewhere to pour it in before eating and the bowl is the perfect item for the job."
ulmResourceBowstring,"Bowstring"
ulmResourceBowstringDesc,"A string, that is used to craft a bow or a crossbow."
ulmResourceBranch,"Branch"
ulmResourceBranchDesc,"Used in some crafting recipes. Burns out fast, what would you expect."
ulmResourceBrassValve,"Brass Valve"
ulmResourceBrassValveDesc,"For residential or commercial air, steam, oil or gas applications."
ulmResourceBrick,"Clay Brick"
ulmResourceBrickDesc,"Can be used in crafting or getting some clay."
ulmResourceBicycleRepairKit,"Bicycle Repair Kit"
ulmResourceBicycleRepairKitDesc,"Everything you need to fix up a bicycle."
ulmResourceBicycleWheel,"Bicycle Wheel"
ulmResourceBicycleWheelDesc,"Standard bicycle wheel"
ulmResourceBicycleWheelBlueprint,"Bicycle Wheel"
ulmResourceBicycleWheelBlueprintDesc,"Instructions on how to make a [decea3]Bicycle Wheel[-]."
ulmResourceCarRepairKit,"Car Repair Kit"
ulmResourceCarRepairKitDesc,"Contains all the necessary parts to restore a car in working condition."
ulmResourceCarRepairKitBlueprint,"Car Repair Kit"
ulmResourceCarRepairKitBlueprintDesc,"Instructions on how to make a [decea3]Car Repair Kit[-]."
ulmResourceCarWheel,"Car Wheel"
ulmResourceCarWheelDesc,"Generic Car wheel"
ulmResourceCarWheelBlueprint,"Car Wheel"
ulmResourceCarWheelBlueprintDesc,"Instructions on how to make a [decea3]4x4 Wheel[-]."
ulmResourceCharcoal,"Charcoal"
ulmResourceCharcoalDesc,"Carbon residue produced by strongly heating up wood and vaporizing all water in a process called charcoal burning, usually in a fireplace, wood stove and such. Can be used in medicine, art and most importantly metallurgy as a fuel source."
ulmResourceCoalPowder,"Coal Powder"
ulmResourceCoalPowderDesc,"Core ingredient in Gunpowder production."
ulmResourceConcreteReinforcement,"Concrete Reinforcement"
ulmResourceConcreteReinforcementDesc,"Used to reinforce existing [decea3]Concrete Blocks[-] into [decea3]Reinforced Concrete Blocks[-]"
ulmResourceSteelReinforcement,"Steel Reinforcement"
ulmResourceSteelReinforcementDesc,"Used to reinforce existing [decea3]Reinforced Concrete Blocks[-] into [decea3]Steel Blocks[-]"
ulmResourceTitaniumReinforcement,"Titanium Reinforcement"
ulmResourceTitaniumReinforcementDesc,"Used to reinforce existing [decea3]Steel Blocks[-] into [decea3]Titanium Blocks[-]"
ulmResourceDeadWeight,"Putrid Meat Chunk"
ulmResourceDeadWeightDesc,"It has a foul rotting corpse odor."
ulmResourceDuneRunnerDashboard,"Dune Runner Dashboard"
ulmResourceDuneRunnerDashboardDesc,"Used to steer and control gear shifting of the vehicle and monitor basic readouts of its performance."
ulmResourceDuneRunnerDashboardSchematic,"Dune Runner Dashboard"
ulmResourceDuneRunnerDashboardSchematicDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmResourceDuneRunnerFrame,"Dune Runner Frame"
ulmResourceDuneRunnerFrameDesc,"Holds different vehicle components together."
ulmResourceDuneRunnerFrameSchematic,"Dune Runner Frame"
ulmResourceDuneRunnerFrameSchematicDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmResourceDuneRunnerSeat,"Dune Runner Seat"
ulmResourceDuneRunnerSeatDesc,"Comfortable and tight vehicle sports seat."
ulmResourceDuneRunnerSeatSchematic,"Dune Runner Seat"
ulmResourceDuneRunnerSeatSchematicDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmResourceDuneRunnerSuspension,"Dune Runner Suspension"
ulmResourceDuneRunnerSuspensionDesc,"Offers more comfortable ride as well as off-road capabilities for a vehicle."
ulmResourceDuneRunnerSuspensionSchematic,"Dune Runner Suspension"
ulmResourceDuneRunnerSuspensionSchematicDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmResourceDuneRunnerWheel,"Dune Runner Wheel"
ulmResourceDuneRunnerWheelDesc,"Off-road capable wheels with excellent grip."
ulmResourceDuneRunnerWheelSchematic,"Dune Runner Wheel"
ulmResourceDuneRunnerWheelSchematicDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmResourceElectronicCircuitboard,"Circuit Board"
ulmResourceElectronicCircuitboardDesc,"Usable in advanced crafting recipes."
ulmResourceElectronicComponents,"Electronic Components"
ulmResourceElectronicComponentsDesc,"Building blocks of modern electronics such as fuses, switches, diodes, transistors, capacitors, resistors, microchips etc."
ulmResourceElectronicCopperCoil,"Copper Coil"
ulmResourceElectronicCopperCoilDesc,"Key component of most electric motors and servos"
ulmResourceElectronicDiode,"Diode"
ulmResourceElectronicDiodeDesc,"A very simple light diode. Used in electronics."
ulmResourceElectronicFuse,"Fuse"
ulmResourceElectronicFuseDesc,"Used in electronics."
ulmResourceElectronicInsulator,"Insulator"
ulmResourceElectronicInsulatorDesc,"An electric insulator made out of ceramic composites, that allows current flow control under the influence of an electric field."
ulmResourceElectronicLCDScreen,"LCD Screen"
ulmResourceElectronicLCDScreenDesc,"Very basic LCD screen with low resolution."
ulmResourceElectronicMicrochip,"Microchip"
ulmResourceElectronicMicrochipDesc,"Used in most electronic components; depending on the type of the chip, they are can be used for processing information, instructions or storing data."
ulmResourceElectronicResistor,"Resistor"
ulmResourceElectronicResistorDesc,"One way of lowering voltage to electrical components is by using resistors."
ulmResourceElectronicSwitch,"Electric Switch"
ulmResourceElectronicSwitchDesc,"Very basic electrical switch for turning on or off electrical components within an electrical device."
ulmResourceEngineV1,"Small Engine"
ulmResourceEngineV1Desc,"Very small and compact engine from a regular lawn mower. Used for power generation."
ulmResourceEngineV4,"Aviation Engine"
ulmResourceEngineV4Desc,"Internal combustion engine from a small aircraft. Used for power generation."
ulmResourceEngineV6,"Buggy Engine"
ulmResourceEngineV6Desc,"Internal combustion engine from a dune runner buggy. Used for power generation or crafting a Dune Runner."
ulmResourceEngineV8M,"Motorcycle Engine"
ulmResourceEngineV8MDesc,"Medium size internal combustion engine. Used for power generation."
ulmResourceEngineV8,"Car Engine"
ulmResourceEngineV8Desc,"Medium size internal combustion engine. Used for power generation."
ulmResourceEngineV12,"Truck Engine"
ulmResourceEngineV12Desc,"Large internal combustion engine. Used for power generation."
ulmResourceFirewood,"Firewood"
ulmResourceFirewoodDesc,"The most commonly known fuel source to make fire."
ulmResourceForgedTitanium,"Titanium Plate"
ulmResourceForgedTitaniumDesc,"Used in construction of advanced items and blocks."
ulmResourceFuelBrick,"Fuel Brick"
ulmResourceFuelBrickDesc,"A condensed wood block mostly made out of scrap wood, that burns exceptionally well."
ulmResourceGears,"Gears"
ulmResourceGearsDesc,"Usually mesh with another toothed part to transmit torque."
ulmResourceGlass,"Glass"
ulmResourceGlassDesc,"Transparent amorphous solid with widespread practical, technological and decorative uses. With it you can craft various glass bottles, windows etc."
ulmResourceGyrocopterWheel,"Gyrocopter Wheel"
ulmResourceGyrocopterWheelDesc,"Standard gyrocopter wheel"
ulmResourceGyrocopterWheelBlueprint,"Gyrocopter Wheel"
ulmResourceGyrocopterWheelBlueprintDesc,"Instructions on how to make a [decea3]Gyrocopter Wheel[-]."
ulmResourceHandleWood,"Wooden Handle"
ulmResourceHandleWoodDesc,"Used in creation of Picks, Pickaxes and Axes."
ulmResourceHingeBrass,"Brass Hinge"
ulmResourceHingeBrassDesc,"Durable hinge for connecting two solid objects, allowing rotation between them."
ulmResourceHingeIron,"Iron Hinge"
ulmResourceHingeIronDesc,"Durable iron hinge for connecting two solid objects, allowing rotation between them."
ulmResourceHingeSteel,"Steel Hinge"
ulmResourceHingeSteelDesc,"Very durable hinge for connecting two solid objects, allowing rotation between them."
ulmResourceHoney,"Honeycomb"
ulmResourceHoneyDesc,"In order to get usable honey, you need to process it at the [decea3]Campfire[-]."
ulmResourceIngotBrass,"Brass Ingot"
ulmResourceIngotBrassDesc,"A dense Brass Ingot. I wonder how many bullets this would make?."
ulmResourceIngotCopper,"Copper Ingot"
ulmResourceIngotCopperDesc,"A dense Copper Ingot. Common metal used in electrical components for conducting electricity."
ulmResourceIngotCrudeIron,"Crude Iron Ingot"
ulmResourceIngotCrudeIronDesc,"A dense crude quality Iron Ingot. Common metal used in basic rough metal forging."
ulmResourceIngotGold,"Gold Ingot"
ulmResourceIngotGoldDesc,"A dense Gold Ingot."
ulmResourceIngotIron,"Iron Ingot"
ulmResourceIngotIronDesc,"A dense ingot, that can be further processed and shaped into different items."
ulmResourceIngotLead,"Lead Ingot"
ulmResourceIngotLeadDesc,"A dense Lead Ingot. The best way to store metals is by melting scraps and then transforming them from liquid state to an ingot for long term storage."
ulmResourceIngotSilver,"Silver Ingot"
ulmResourceIngotSilverDesc,"A dense Silver Ingot."
ulmResourceIngotSteel,"Steel Ingot"
ulmResourceIngotSteelDesc,"A dense ingot, that can be further processed and shaped into different items."
ulmResourceIngotTitanium,"Titanium Ingot"
ulmResourceIngotTitaniumDesc,"Used in construction of titanium based alloys."
ulmResourceIngotZinc,"Zinc Ingot"
ulmResourceIngotZincDesc,"Rarely used in it's pure form, most commonly found as an alloy with other metals, can be used in combination of Copper to manufacture Brass."
ulmResourceLightBulb,"Light Bulb"
ulmResourceLightBulbDesc,"Dusty but well preserved light bulb."
ulmResourceLithiumBattery,"Lithium Battery"
ulmResourceLithiumBatteryDesc,"Battery pack consisting of multiple smaller lithium battery cells. Performs better than regular lead–acid batteries. Usable as a battery for minibike."
ulmResourceLithiumBatteryCells,"Lithium Battery Cells"
ulmResourceLithiumBatteryCellsDesc,"Small and compact lithium battery cells. Each provides very little power, but combined in greater numbers, they can outperform lead-acid batteries. Used as an alternative battery for minibike."
ulmResourceMetalMesh,"Metal Mesh"
ulmResourceMetalMeshDesc,"Durable metal mesh. Used as reinforcement for Bullet Proof Glass manufacturing."
ulmResourceMinibikeRepairKit,"Minibike Repair Kit"
ulmResourceMinibikeRepairKitDesc,"Contains all the necessary parts to restore a minibike in working condition."
ulmResourceMinibikeRepairKitBlueprint,"Minibike Repair Kit"
ulmResourceMinibikeRepairKitBlueprintDesc,"Instructions on how to make a [decea3]Minibike Repair Kit[-]."
ulmResourceMinibikeWheel,"Minibike Wheel"
ulmResourceMinibikeWheelDesc,"Standard minibike wheel"
ulmResourceMinibikeWheelBlueprint,"Minibike Wheel"
ulmResourceMinibikeWheelBlueprintDesc,"Instructions on how to make a [decea3]Minibike Wheel[-]."
ulmResourceMotorcycleRepairKit,"Motorcycle Repair Kit"
ulmResourceMotorcycleRepairKitDesc,"Contains all the necessary parts to restore a motorcycle in working condition."
ulmResourceMotorcycleRepairKitBlueprint,"Motorcycle Repair Kit"
ulmResourceMotorcycleRepairKitBlueprintDesc,"Instructions on how to make a [decea3]Motorcycle Repair Kit[-]."
ulmResourceMotorcycleWheel,"Motorcycle Wheel"
ulmResourceMotorcycleWheelDesc,"Marauder motorcycle wheel"
ulmResourceMotorcycleWheelBlueprint,"Motorcycle Wheels"
ulmResourceMotorcycleWheelBlueprintDesc,"Instructions on how to make a [decea3]Motorcycle Wheels[-]."
ulmResourceNutsAndBolts,"Nuts and Bolts"
ulmResourceNutsAndBoltsDesc,"Nuts, bolts and washers of various sizes."
ulmResourceOreCopper,"Copper Ore"
ulmResourceOreCopperDesc,"A chunk of [decea3]Copper Ore[-]. Not very useful in its raw state, you first have to refine it in the furnace by melting it down and solidifying it in a [decea3]Copper Ingot[-]."
ulmResourceOreIron,"Iron Ore"
ulmResourceOreIronDesc,"A chunk of [decea3]Iron Ore[-]. Not very useful in its raw state, you first have to refine it in the furnace by melting it down and solidifying it in an [decea3]Iron Ingot[-]."
ulmResourceOreLead,"Lead Ore"
ulmResourceOreLeadDesc,"A chunk of [decea3]Lead Ore[-]. Not very useful in its raw state, you first have to refine it in the furnace by melting it down and solidifying it in a [decea3]Lead Ingot[-]."
ulmResourceOrePotassiumNitrate,"Saltpeter Ore"
ulmResourceOrePotassiumNitrateDesc,"A chunk of [decea3]Potassium Nitrate[-] rich ore. Not very useful in its raw state, use [decea3]Mortar and Pestle[-] to produce [decea3]Potassium Nitrate Powder[-]."
ulmResourceOreStone,"Large Stone"
ulmResourceOreStoneDesc,"A Large Stone, that can be used to make Flagstone or Cobblestone."
ulmResourceOreSulfur,"Sulfur Ore"
ulmResourceOreSulfurDesc,"Can be found in small quantities in [decea3]Saltpeter Ore[-] veins and must be further processed in [decea3]Mortar and Pestle[-] to get [decea3]Sulfur Powder[-], one of gunpowder ingredients."
ulmResourceOreTitanium,"Titanium Ore"
ulmResourceOreTitaniumDesc,"A chunk of [decea3]Titanium Ore[-]. Not very useful in its raw state, you first have to refine it in the furnace by melting it down and solidifying it in a [decea3]Titanium Ingot[-]."
ulmResourceOreZinc,"Zinc Ore"
ulmResourceOreZincDesc,"A chunk of [decea3]Zinc Ore[-]. Not very useful in its raw state, you first have to refine it in the furnace by melting it down and solidifying it in a [decea3]Zinc Ingot[-]."
ulmResourcePartsSMG,"SMG Parts"
ulmResourcePartsSMGDesc,"Some bits and pieces of what once was an SMG."
ulmResourcePlank,"Wooden Plank"
ulmResourcePlankDesc,"Used in most crafting recipes related to woodworking. Can be crafted more efficiently at the Workbench with a Circular Saw."
ulmResourcePoliceLights,"Police Lights"
ulmResourcePoliceLightsDesc,"You can upgrade Police Cars with these"
ulmResourcePrimitiveRepairKit,"Primitive Repair Kit"
ulmResourcePrimitiveRepairKitDesc,"All the essential parts for repairing the most basic and primitive stone or wood tools."
ulmResourceRebarIron,"Iron Rebar"
ulmResourceRebarIronDesc,"Used in construction of rebar frames and iron bars. Has other applications, too."
ulmResourceRebarSteel,"Steel Rebar"
ulmResourceRebarSteelDesc,"Used in construction of Steel bars."
ulmResourceRebarTitanium,"Titanium Rebar"
ulmResourceRebarTitaniumDesc,"Used in construction of advanced items and blocks."
ulmResourceResearch,"Research Data"
ulmResourceResearchDesc,"A collection of valuable research data. When enough data gathered, it is possible to research new blueprints at the research table."
ulmResourceResin,"Resin"
ulmResourceResinDesc,"Highly viscous substance, that can be harvested from trees. Often mixtures of organic compounds. Many plants, particularly wood plants, produce resin in response to injury."
ulmResourceRope,"Rope"
ulmResourceRopeDesc,"Twisted or braided together pieces of fiber to form a rope, much stronger than fiber by itself."
ulmResourceScrapCopper,"Scrap Copper"
ulmResourceScrapCopperDesc,"Mostly used in the manufacturing of copper tubes and wires."
ulmResourceScrapLeather,"Scrap Leather"
ulmResourceScrapLeatherDesc,"Used to patch up leather armor. Repairs [decea3]50[-] durability."
ulmResourceScrapOrganic,"Organic Waste"
ulmResourceScrapOrganicDesc,"A mixed substance of organic matter that is used to create fertilizer for cultivating the soil."
ulmResourceScrapPlank,"Broken Plank"
ulmResourceScrapPlankDesc,"A broken piece of a plank. If you find similar pieces, it might be possible to restore it with glue."
ulmResourceScrapRubber,"Scrap Rubber"
ulmResourceScrapRubberDesc,"Scrap Rubber can be used in crafting rubber wheels and other components."
ulmResourceScrapSteel,"Scrap Steel"
ulmResourceScrapSteelDesc,"A collection of various salvaged steel plates, profiles and panels. Obtained by scrapping items, that mostly consist of steel as their base material."
ulmResourceScrapTitanium,"Scrap Titanium"
ulmResourceScrapTitaniumDesc,"Used in construction of titanium based alloys."
ulmResourceScrapWires,"Scrap Wire"
ulmResourceScrapWiresDesc,"Most electronics rely on some form of electrical wiring for electricity to move from one component to another."
ulmResourceScrapWood,"Scrap Wood"
ulmResourceScrapWoodDesc,"Small to medium sized pieces of wood formed by cutting or chipping larger pieces of wood such as trees, branches, logging residues, stumps, roots, wood waste, etc."
ulmResourceStonePowder,"Stone Powder"
ulmResourceStonePowderDesc,"Finely ground Stone"
ulmResourceSulfurPowder,"Sulfur Powder"
ulmResourceSulfurPowderDesc,"Primarily made by scrapping sulfur ore, and is used to make gunpowder. Can also be extracted from eggs or rotting flesh."
ulmResourceTreeRepairKit,"Tree Repair Kit"
ulmResourceTreeRepairKitDesc,"All the essential parts for repairing most trees."
ulmResourceTruckRepairKit,"Truck Repair Kit"
ulmResourceTruckRepairKitDesc,"Contains all the necessary parts to restore a truck in working condition."
ulmResourceTruckRepairKitBlueprint,"Truck Repair Kit"
ulmResourceTruckRepairKitBlueprintDesc,"Instructions on how to make a [decea3]Truck Repair Kit[-]."
ulmResourceTruckWheel,"Truck Wheel"
ulmResourceTruckWheelDesc,"Generic Truck wheel"
ulmResourceTruckWheelBlueprint,"Truck Wheel"
ulmResourceTruckWheelBlueprintDesc,"Instructions on how to make a [decea3]Truck Wheel[-]."
ulmResourceLumber,"Wood"
ulmResourceLumberDesc,"Can be further processed in other resources such as planks, firewood etc."
ulmBookSniperRifles,"Sniper Rifles"
ulmBookSniperRiflesDesc,"Reading this skill book will increase your level in [decea3]Sniper Rifles[-] action skill by [decea3]1[-]."
ulmBookArchery,"Bows and Crossbows"
ulmBookArcheryDesc,"Reading this skill book will increase your level in [decea3]Bows and Crossbows[-] action skill by [decea3]1[-]."
ulmBookSpears,"Spears"
ulmBookSpearsDesc,"Reading this skill book will increase your level in [decea3]Spears[-] action skill by [decea3]1[-]."
ulmBookLockPicking,"Lock Picking"
ulmBookLockPickingDesc,"Reading this skill book will increase your level in [decea3]Lock Picking[-] action skill by [decea3]1[-]."
ulmBookLooting,"Looting"
ulmBookLootingDesc,"Reading this skill book will increase your level in [decea3]Looting[-] action skill by [decea3]1[-]."
ulmBookButcher,"Animal Harvesting"
ulmBookButcherDesc,"Reading this skill book will increase your level in [decea3]Animal Harvesting[-] action skill by [decea3]1[-]."
ulmBookAssaultRifles,"Machine Guns"
ulmBookAssaultRiflesDesc,"Reading this skill book will increase your level in [decea3]Machine Guns[-] action skill by [decea3]1[-]."
ulmBookClubs,"Clubs"
ulmBookClubsDesc,"Reading this skill book will increase your level in [decea3]Clubs[-] action skill by [decea3]1[-]."
ulmBookSledgehammers,"Sledgehammers"
ulmBookSledgehammersDesc,"Reading this skill book will increase your level in [decea3]Sledgehammers[-] action skill by [decea3]1[-]."
ulmBookAxes,"Woodcutting Tools"
ulmBookAxesDesc,"Reading this skill book will increase your level in [decea3]Woodcutting Tools[-] action skill by [decea3]1[-]."
ulmBookShovels,"Digging Tools"
ulmBookShovelsDesc,"Reading this skill book will increase your level in [decea3]Digging Tools[-] action skill by [decea3]1[-]."
ulmBookMining,"Mining Tools"
ulmBookMiningDesc,"Reading this skill book will increase your level in [decea3]Mining Tools[-] action skill by [decea3]1[-]."
ulmBookShotguns,"Shotguns"
ulmBookShotgunsDesc,"Reading this skill book will increase your level in [decea3]Shotguns[-] action skill by [decea3]1[-]."
ulmBookBrawler,"Brawler"
ulmBookBrawlerDesc,"Reading this skill book will increase your level in [decea3]Brawler[-] action skill by [decea3]1[-]."
ulmBookResistHeat,"Heat Resistance"
ulmBookResistHeatDesc,"Reading this skill book will increase your level in [decea3]Heat Resistance[-] action skill by [decea3]1[-]."
ulmBookResistCold,"Cold Resistance"
ulmBookResistColdDesc,"Reading this skill book will increase your level in [decea3]Cold Resistance[-] action skill by [decea3]1[-]."
ulmBookResistPain,"Pain Resistance"
ulmBookResistPainDesc,"Reading this skill book will increase your level in [decea3]Pain Resistance[-] action skill by [decea3]1[-]."
ulmBookHealing,"Healing"
ulmBookHealingDesc,"Reading this skill book will increase your level in [decea3]Healing[-] action skill by [decea3]1[-]."
ulmBookHandguns,"Handguns"
ulmBookHandgunsDesc,"Reading this skill book will increase your level in [decea3]Handguns[-] action skill by [decea3]1[-]."
ulmBookBlades,"Knives and Swords"
ulmBookBladesDesc,"Reading this skill book will increase your level in [decea3]Knives and Swords[-] action skill by [decea3]1[-]."
ulmBookAthletics,"Athletics"
ulmBookAthleticsDesc,"Reading this skill book will increase your level in [decea3]Athletics[-] action skill by [decea3]1[-]."
ulmBookSneaking,"Sneaking"
ulmBookSneakingDesc,"Reading this skill book will increase your level in [decea3]Sneaking[-] action skill by [decea3]1[-]."
ulmBookAssasin,"Assassin"
ulmBookAssasinDesc,"Reading this skill book will increase your level in [decea3]Assassin[-] action skill by [decea3]1[-]."
ulmBookSubmachineGuns,"Submachine guns"
ulmBookSubmachineGunsDesc,"Reading this skill book will increase your level in [decea3]Submachine guns[-] action skill by [decea3]1[-]."
ulmBookShockers,"Melee Pipe Weapons"
ulmBookShockersDesc,"Reading this skill book will increase your level in [decea3]Melee Pipe Weapons[-] action skill by [decea3]1[-]."
ulmBookTrading,"Trading"
ulmBookTradingDesc,"Reading this skill book will increase your level in [decea3]Trading[-] action skill by [decea3]1[-]."
ulmBookQuesting,"Missions"
ulmBookQuestingDesc,"Reading this skill book will increase your level in [decea3]Missions[-] action skill by [decea3]1[-]."
ulmBookSalvaging,"Salvage Tools"
ulmBookSalvagingDesc,"Reading this skill book will increase your level in [decea3]Salvage Tools[-] action skill by [decea3]1[-]."
ulmBookStrength,"Weight Lifting"
ulmBookStrengthDesc,"Reading this skill book will increase your level in [decea3]Weight Lifting[-] action skill by [decea3]1[-]."
ulmToolBerserkerDrill,"Valkyrie Drill"
ulmToolBerserkerDrillDesc,"[decea3]+200%[-] more damage to ore, asphalt and [decea3]+120%[-] more damage to earth."
ulmToolBerserkerDrillBlueprint,"Valkyrie Drill"
ulmToolBerserkerDrillBlueprintDesc,"Allows you to learn new crafting recipe. If already known, gives XP when used."
ulmToolBoneSaw,"Bone Saw"
ulmToolBoneSawDesc,"A crude bone saw designed for cutting animal carcasses into smaller parts."
ulmMeleeAxeCarpenters,"Carpenters Axe"
ulmMeleeAxeCarpentersDesc,"[decea3]+200%[-] more damage to trees."
ulmToolFryingPan,"Frying Pan"
